property_type,room_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,host_has_profile_pic,host_identity_verified,host_since,instant_bookable,last_review,latitude,longitude,number_of_reviews,review_scores_rating,bedrooms,beds,host_response_rate_n,host_since_na,last_review_na,review_scores_rating_na,host_response_rate_n_na,price
1,0,1,0,1,2,1,0,1,42,1,25,40.73733188575217,-73.85703977432372,36,98.0,0,0,1.0,0,0,0,0,39.99999999999998
1,2,1,0,1,2,1,0,2,42,1,27,40.759531803129285,-73.91182433209413,13,96.0,1,1,0.8,0,0,0,0,135.00000000000003
1,2,1,0,1,1,1,0,1,66,1,25,40.81963537240443,-73.94679587026455,0,96.0,0,0,1.0,0,1,1,1,109.00000000000007
1,2,4,2,1,2,1,0,1,70,1,25,40.66190962269668,-73.85805066179117,3,100.0,3,2,1.0,0,0,0,0,119.99999999999997
1,2,1,0,1,2,1,0,1,91,1,31,40.80132164701976,-73.9543024933366,28,89.0,0,0,1.0,0,0,0,0,100.00000000000004
1,2,3,0,1,0,1,0,2,80,1,26,40.87664611667027,-73.90855000582128,12,97.0,2,2,1.0,0,0,0,0,132.0000000000002
1,2,1,0,1,1,0,0,2,45,0,25,40.76720466324605,-73.9549539888535,19,99.0,1,0,1.0,0,0,0,0,119.99999999999997
1,1,1,1,1,1,1,0,1,81,1,42,40.680191175536,-73.98119195544797,3,100.0,0,0,1.0,0,0,0,1,50.00000000000004
1,1,1,2,1,2,1,0,1,55,1,35,40.69793175835247,-73.92775173953693,11,96.0,0,0,1.0,0,0,0,1,70.00000000000003
1,1,1,0,1,0,1,0,2,53,1,27,40.76617823019976,-73.98747688626621,19,98.0,0,0,0.5,0,0,0,0,100.00000000000004
0,1,1,0,1,2,1,0,1,83,1,26,40.76074011390092,-73.80968907660073,3,93.0,0,0,1.0,0,0,0,0,79.99999999999997
1,1,0,2,1,1,1,0,1,61,1,45,40.82800665528735,-73.94200708237892,1,100.0,0,0,1.0,0,0,0,1,79.99999999999997
1,2,4,2,1,2,1,0,1,106,0,41,40.68995774251717,-73.94053469410667,1,100.0,2,1,1.0,0,0,0,1,249.9999999999999
1,2,4,2,1,0,1,0,2,76,1,25,40.77202178186091,-73.9504978038498,0,96.0,2,1,1.0,0,1,1,1,199.99999999999991
1,2,1,0,1,0,1,0,1,61,1,25,40.74570494112432,-74.00366275180572,20,83.0,1,0,1.0,0,0,0,0,122.00000000000003
1,2,1,0,1,0,1,0,1,60,1,33,40.65594771988663,-73.95584736754995,8,98.0,0,0,1.0,0,0,0,0,100.00000000000004
1,1,0,0,1,2,1,0,1,91,1,59,40.75710073641359,-73.99263526120046,6,88.0,0,0,1.0,0,0,0,0,110.00000000000004
1,1,1,0,1,1,1,0,1,66,1,25,40.69962655192687,-73.91960977210883,2,90.0,0,0,0.9,0,0,0,0,54.00000000000001
1,2,3,0,1,0,1,0,1,51,1,25,40.74383006148595,-73.99589510238093,6,93.0,2,1,1.0,0,0,0,0,300.0000000000002
1,2,2,0,1,1,1,0,1,125,1,29,40.82891860539964,-73.94745245356083,34,83.0,0,0,1.0,0,0,0,0,110.00000000000004
1,1,1,0,1,1,0,0,1,96,1,25,40.69152579809085,-73.96044378359049,11,94.0,0,0,1.0,0,0,0,0,64.99999999999999
1,2,4,0,1,2,1,0,1,37,0,25,40.74681123810204,-73.97620706732498,18,96.0,0,2,0.95,0,0,0,0,155.00000000000003
1,2,3,0,1,2,1,0,1,103,1,25,40.687195524184105,-73.95230980442167,27,96.0,0,1,1.0,0,0,0,0,150.00000000000009
1,2,3,0,1,2,1,0,2,90,0,25,40.79211981394448,-73.94318684007115,2,100.0,0,1,0.9,0,0,0,0,155.00000000000003
2,1,1,0,1,1,1,0,1,51,0,25,40.68179233948877,-73.9525212528076,20,91.0,0,0,1.0,0,0,0,0,46.99999999999995
1,1,1,0,1,1,1,0,1,73,1,25,40.70736544114085,-73.93180927564099,8,91.0,0,1,1.0,0,0,0,0,59.999999999999986
1,1,3,0,1,2,1,0,1,52,1,25,40.76207311537364,-73.98944684722456,67,94.0,0,1,1.0,0,0,0,0,245.0000000000001
1,2,1,0,1,0,0,0,1,60,1,33,40.74542616187481,-74.00055268362341,1,100.0,0,0,1.0,0,0,0,1,300.0000000000002
1,1,1,0,1,1,1,0,2,39,1,25,40.67041058557287,-73.92528807295811,17,91.0,0,0,1.0,0,0,0,0,55.000000000000014
1,1,1,0,1,0,0,0,1,63,1,34,40.69435318541303,-73.91852229746708,12,92.0,0,0,1.0,0,0,0,1,59.999999999999986
0,1,1,0,1,2,1,0,1,94,1,25,40.84189090891872,-73.8695549808128,0,96.0,0,0,1.0,0,1,1,0,39.99999999999998
1,1,1,2,1,2,0,0,2,106,1,25,40.68501758582179,-73.9275043202581,1,100.0,0,0,1.0,0,0,0,0,70.00000000000003
1,1,1,0,1,1,0,0,1,44,0,25,40.69187895158437,-73.94741585685087,0,96.0,0,1,1.0,0,1,1,1,56.99999999999996
1,2,1,0,1,2,1,0,2,64,1,34,40.631954421377394,-74.02139721078974,2,90.0,0,0,1.0,0,0,0,1,74.99999999999997
1,1,1,0,1,2,1,0,1,87,1,25,40.76423185212598,-73.9219649946896,70,92.0,0,0,1.0,0,0,0,0,59.000000000000014
0,1,1,1,1,2,1,0,1,35,0,25,40.86909071336591,-73.89396198838917,14,84.0,0,0,1.0,0,0,0,0,50.00000000000004
1,2,4,1,1,0,1,0,2,27,0,25,40.69499014296306,-73.79909812737706,7,100.0,2,3,1.0,0,0,0,0,138.00000000000006
1,2,4,0,1,2,1,0,1,36,0,25,40.72409644172875,-74.00219162386801,38,85.0,2,2,1.0,0,0,0,0,239.00000000000009
1,1,3,0,1,0,1,0,1,63,1,25,40.7193717675764,-73.96268866530241,0,96.0,0,1,1.0,0,1,1,0,114.00000000000003
1,1,2,0,1,0,1,0,1,72,0,38,40.76986308675655,-73.98672529046748,1,100.0,0,0,1.0,0,0,0,1,89.99999999999967
1,1,1,0,1,1,0,0,2,62,1,25,40.73134265722121,-73.98680432843828,0,96.0,0,0,0.92,0,1,1,0,79.99999999999997
1,1,1,0,1,0,1,0,1,77,1,35,40.70315723516756,-73.92921149556146,21,91.0,0,0,0.25,0,0,0,0,74.99999999999997
1,1,0,0,1,1,0,0,1,81,1,26,40.71015097006165,-73.95499538851291,1,100.0,0,0,1.0,0,0,0,0,59.999999999999986
0,2,4,0,1,2,1,0,2,46,1,25,40.6773496487664,-73.94467833871616,0,96.0,2,1,1.0,0,1,1,0,100.00000000000004
1,1,3,0,1,2,1,0,1,82,1,25,40.733189515534896,-73.95623230875167,1,100.0,2,1,1.0,0,0,0,0,110.00000000000004
1,1,1,0,1,0,1,0,1,92,1,30,40.71149630429953,-73.94290131407206,2,100.0,0,0,0.9,0,0,0,0,69.00000000000001
1,2,1,0,1,2,1,0,1,43,1,41,40.76660906642489,-73.96821423295117,2,100.0,1,0,0.63,0,0,0,0,104.99999999999997
1,2,2,0,1,2,1,0,1,104,0,26,40.70712636016805,-74.00793377485492,2,100.0,1,0,0.9,0,0,0,0,144.99999999999997
1,2,3,0,1,2,0,0,1,62,1,45,40.79494165164141,-73.97220856962788,2,80.0,0,1,1.0,0,0,0,1,167.99999999999997
1,2,0,0,1,2,1,0,1,52,1,27,40.68539137967797,-73.98855770416452,1,80.0,1,0,1.0,0,0,0,1,68.00000000000001
1,1,1,0,1,1,0,0,1,31,0,26,40.69500645327693,-73.92538168121865,2,100.0,0,0,1.0,0,0,0,0,45.000000000000014
1,2,1,0,1,2,1,0,1,107,1,33,40.7916335337622,-73.94573465935196,179,97.0,0,0,1.0,0,0,0,0,95.0
1,1,0,0,1,1,0,0,2,34,1,25,40.78993735249885,-73.9386712263197,0,96.0,0,0,1.0,0,1,1,1,30.000000000000004
1,2,2,0,1,2,1,0,1,71,1,25,40.73618923885191,-73.97952945350613,7,100.0,1,0,0.93,0,0,0,0,195.0
1,2,1,0,1,2,1,0,1,57,0,25,40.72959001964208,-73.98245080106037,14,90.0,0,0,1.0,0,0,0,0,125.00000000000004
0,1,1,1,1,2,1,0,1,97,1,25,40.65035957137253,-74.00357406157016,15,89.0,0,0,1.0,0,0,0,0,50.00000000000004
1,1,1,0,1,2,0,0,1,56,1,37,40.63109956853232,-74.03021674947864,4,90.0,0,0,1.0,0,0,0,0,50.00000000000004
1,0,0,0,1,1,1,0,1,35,1,26,40.73419012043804,-73.9539101432932,19,91.0,0,0,1.0,0,0,0,0,48.00000000000005
1,2,1,0,1,1,1,0,2,40,1,25,40.732017595333865,-73.98766105252854,0,96.0,0,0,1.0,0,1,1,1,249.9999999999999
1,2,4,2,1,2,1,0,2,41,1,25,40.66617740366713,-73.93156452779185,31,94.0,3,3,1.0,0,0,0,0,300.0000000000002
1,2,3,0,1,2,1,0,1,115,1,25,40.80709698305865,-73.95038395798285,85,90.0,0,1,0.8,0,0,0,0,129.99999999999997
1,1,0,0,1,1,0,0,1,60,1,28,40.85674347104205,-73.93002512143849,5,100.0,0,0,1.0,0,0,0,1,34.99999999999998
1,2,3,0,1,2,1,0,2,38,0,27,40.746007021912376,-73.99927506891312,5,100.0,0,1,1.0,0,0,0,0,239.99999999999977
1,2,1,0,1,2,1,0,1,66,1,25,40.72863080798811,-73.99078945723805,47,95.0,1,0,0.69,0,0,0,0,160.00000000000023
1,1,0,0,1,1,1,0,1,73,0,25,40.71003419735784,-74.01824324939881,0,96.0,0,0,1.0,0,1,1,1,199.99999999999991
1,1,3,0,1,0,0,0,1,46,1,33,40.713863797788505,-73.94742156981285,35,91.0,0,1,1.0,0,0,0,1,98.99999999999999
1,1,1,0,1,1,1,0,1,65,1,28,40.69351767281632,-73.93043861968799,4,100.0,0,0,1.0,0,0,0,0,72.0
1,1,1,0,1,2,1,0,2,51,0,50,40.669689981064295,-73.99211085749518,1,96.0,0,1,1.0,0,0,1,1,37.99999999999999
1,2,1,0,1,2,1,0,2,88,1,38,40.7742379116011,-73.94838631116204,14,96.0,0,0,1.0,0,0,0,1,139.99999999999994
0,1,1,0,1,2,1,0,1,52,1,28,40.75839712553496,-73.9130756682726,3,100.0,0,0,0.75,0,0,0,0,59.999999999999986
1,1,1,0,1,1,0,0,1,33,0,25,40.82851079895283,-73.94053546771832,0,96.0,0,0,1.0,0,1,1,1,175.00000000000006
1,1,1,0,0,0,1,0,1,66,1,26,40.71123116976725,-73.9614752148472,37,91.0,0,0,1.0,0,0,0,0,50.00000000000004
0,1,1,1,1,1,1,0,2,89,1,25,40.63144006277472,-73.95507639735628,0,96.0,0,0,1.0,0,1,1,0,199.99999999999991
1,2,1,0,1,2,1,0,1,64,1,25,40.747840684861934,-73.97724556868445,15,89.0,1,0,0.3,0,0,0,0,195.0
1,1,1,0,1,1,0,0,2,25,1,25,40.71264570913779,-73.95822585501263,0,96.0,0,0,0.67,0,1,1,0,79.99999999999997
1,2,1,0,1,1,1,0,1,111,1,25,40.70863973238832,-74.00674863283534,0,96.0,0,0,1.0,0,1,1,1,249.9999999999999
1,1,0,0,0,1,0,0,2,47,1,25,40.81109010111996,-73.95903696550064,0,96.0,0,0,1.0,0,1,1,1,55.000000000000014
1,1,1,0,1,2,1,0,2,26,0,25,40.76654329907375,-73.99081087444901,0,96.0,0,1,0.74,0,1,1,0,184.99999999999991
1,2,3,0,1,2,1,0,1,91,1,25,40.650104401772616,-73.9798491032263,93,98.0,2,1,1.0,0,0,0,0,149.0
1,2,1,0,1,2,1,0,1,62,1,30,40.743301548135015,-73.99548615247072,12,88.0,1,0,1.0,0,0,0,0,104.99999999999997
1,1,0,0,1,2,0,0,2,25,0,25,40.74774560341608,-73.99154858550777,0,96.0,0,0,1.0,0,1,1,1,160.00000000000023
0,1,3,1,1,2,1,0,1,47,1,30,40.71388993040754,-73.94152447186016,2,100.0,0,1,1.0,0,0,0,1,70.00000000000003
1,2,1,0,1,2,0,0,1,82,1,29,40.76883122220379,-73.95353267399331,21,90.0,0,0,0.5,0,0,0,0,150.00000000000009
1,2,2,0,1,1,0,0,1,55,1,49,40.70993840568986,-73.90200609420555,2,90.0,0,0,1.0,0,0,0,1,64.99999999999999
1,1,1,2,1,0,1,0,1,82,1,25,40.68351752727367,-73.96348239463825,50,99.0,0,1,1.0,0,0,0,0,98.99999999999999
1,2,2,0,1,1,1,0,1,69,1,30,40.70962628887529,-73.95117866826992,14,100.0,0,0,1.0,0,0,0,0,119.99999999999997
1,1,1,0,1,1,0,0,2,59,1,25,40.6759953431466,-73.95282784101836,0,96.0,0,0,1.0,0,1,1,1,199.99999999999991
1,2,2,0,1,0,0,0,1,40,1,25,40.68403405684562,-73.94431520775763,8,100.0,0,2,0.9,0,0,0,0,129.99999999999997
1,1,1,0,1,2,1,0,2,33,1,25,40.76349251082432,-73.99112139143467,14,76.0,3,0,0.95,0,0,0,0,89.99999999999967
1,1,1,0,1,0,0,0,2,58,0,25,40.820761472171775,-73.95548805118315,23,97.0,0,0,0.79,0,0,0,0,97.0
1,2,1,0,1,1,1,0,2,95,1,53,40.78715644966089,-73.94230556031714,1,96.0,0,0,1.0,0,0,1,1,152.9999999999997
1,2,3,0,1,2,1,0,1,86,0,25,40.71680873932328,-73.95472462918434,27,99.0,0,0,1.0,0,0,0,0,199.99999999999991
1,2,1,0,1,1,1,0,1,45,1,30,40.77555805361928,-73.95178993286147,20,99.0,1,0,1.0,0,0,0,1,160.00000000000023
1,1,1,1,1,2,1,0,1,73,1,25,40.81260544044896,-73.95600905306709,3,100.0,0,0,1.0,0,0,0,0,74.00000000000003
1,1,1,0,1,2,0,0,1,32,0,25,40.77227409949904,-73.94812311275119,30,86.0,0,0,1.0,0,0,0,0,98.99999999999999
1,1,1,1,1,2,0,0,2,106,1,25,40.6430231413125,-73.97254560704735,76,90.0,0,0,0.6,0,0,0,0,38.99999999999999
1,2,1,0,1,1,1,0,2,65,1,26,40.85503692862978,-73.93647684264103,7,97.0,1,0,1.0,0,0,0,0,115.00000000000001
1,1,1,0,1,2,1,0,1,96,1,26,40.68284626118672,-73.95161996029061,26,97.0,0,0,0.67,0,0,0,0,59.999999999999986
2,2,3,0,1,1,1,0,2,70,1,62,40.69599911614052,-73.90853988204843,2,100.0,1,2,0.0,0,0,0,0,179.99999999999986
1,2,0,0,1,1,1,0,2,39,1,28,40.72576235659312,-74.00335357168872,2,100.0,0,0,1.0,0,0,0,1,95.0
1,1,1,0,1,2,1,0,1,74,0,25,40.77117593528683,-73.95269847242129,72,94.0,0,1,1.0,0,0,0,0,150.00000000000009
0,2,1,0,1,2,1,0,1,69,1,25,40.683863100253625,-73.90936286313824,70,97.0,1,0,1.0,0,0,0,0,135.00000000000003
1,2,1,0,1,1,0,0,1,46,1,46,40.807275847577,-73.94987377257549,3,100.0,1,0,1.0,0,0,0,1,64.99999999999999
1,2,4,0,1,2,1,0,1,47,0,34,40.77833335608346,-73.94775275839172,1,100.0,2,2,1.0,0,0,0,0,199.99999999999991
2,1,1,2,1,0,1,0,1,97,0,25,40.81064650848205,-73.9456978898192,1,100.0,0,0,1.0,0,0,0,0,125.00000000000004
1,2,2,0,1,2,1,0,1,49,1,25,40.729374453568674,-73.999672204599,101,93.0,0,1,1.0,0,0,0,0,182.99999999999991
1,2,4,2,1,2,1,0,2,26,1,25,40.57962589554784,-73.96207652912544,3,93.0,2,2,0.9,0,0,0,0,249.9999999999999
1,2,1,0,1,2,1,0,1,96,1,49,40.797710283721095,-73.9632321756808,5,85.0,0,0,1.0,0,0,0,0,184.99999999999991
2,2,1,0,1,2,1,0,1,84,0,25,40.75382128969235,-73.97191632579877,3,93.0,1,0,1.0,0,0,0,0,164.9999999999998
1,2,1,0,1,2,1,0,2,61,1,25,40.65434275966189,-73.96058559482172,29,92.0,0,0,1.0,0,0,0,0,79.99999999999997
1,2,4,0,1,2,1,0,1,41,1,27,40.76424051152574,-73.92400978314923,27,94.0,0,3,0.96,0,0,0,0,74.99999999999997
1,1,1,0,1,2,1,0,2,58,0,37,40.76619927768881,-73.92027128547085,4,100.0,0,0,1.0,0,0,0,1,119.99999999999997
1,1,1,1,1,1,1,0,1,77,1,25,40.68513612010175,-73.93361503493675,1,100.0,0,0,1.0,0,0,0,0,79.99999999999997
1,1,1,0,1,0,1,0,2,30,1,25,40.658256661350975,-73.95423471041329,10,88.0,0,0,1.0,0,0,0,0,275.00000000000057
1,2,4,2,1,1,1,0,1,71,0,38,40.69451263652883,-73.98190197023581,2,100.0,3,2,1.0,0,0,0,1,300.0000000000002
1,2,3,0,1,0,1,0,1,72,0,24,40.76091764885998,-73.96338534447493,21,89.0,0,0,1.0,0,0,0,0,179.99999999999986
0,1,1,0,1,1,1,0,2,34,0,25,40.66534593090001,-73.88910030517766,5,90.0,0,0,1.0,0,0,0,0,39.99999999999998
1,2,2,0,1,0,1,0,2,53,1,25,40.73680374876061,-73.98344550803462,2,100.0,1,1,1.0,0,0,0,0,139.00000000000009
1,1,0,0,1,2,1,0,2,74,1,25,40.70998969659572,-73.95410839965237,6,88.0,0,0,1.0,0,0,0,0,98.99999999999999
1,2,2,0,1,0,1,0,2,44,1,43,40.74850335087768,-73.9433583134617,2,80.0,0,1,1.0,0,0,0,1,119.99999999999997
1,2,1,0,1,2,1,0,1,108,0,62,40.801036490889786,-73.95468706839186,2,80.0,1,0,1.0,0,0,0,0,64.99999999999999
1,1,1,0,1,0,0,0,2,49,1,38,40.68484098011412,-73.95290133363892,1,80.0,0,0,0.33,0,0,0,0,100.00000000000004
0,1,1,0,1,2,1,0,1,54,1,47,40.68226605975612,-73.93305101179384,1,80.0,0,0,1.0,0,0,0,1,52.000000000000036
1,1,1,0,1,2,1,0,1,76,1,25,40.712264956468594,-73.99416092389696,38,97.0,0,0,1.0,0,0,0,0,89.99999999999967
1,1,0,0,1,0,1,1,0,61,1,31,40.82089190191844,-73.95175640788862,7,83.0,0,0,1.0,1,0,0,1,42.99999999999996
1,0,0,0,0,1,0,0,1,51,0,26,40.80270453088848,-73.93979548815838,1,100.0,0,0,1.0,0,0,0,0,74.99999999999997
1,2,2,0,1,0,1,0,1,92,1,41,40.677956471922975,-73.9645842339433,10,87.0,0,0,1.0,0,0,0,1,115.00000000000001
2,1,1,0,1,0,1,0,1,35,1,25,40.64007431678946,-73.98010899448592,3,100.0,0,0,1.0,0,0,0,0,70.00000000000003
2,1,1,0,1,1,0,0,2,52,0,25,40.80004476328952,-73.96593394668805,5,90.0,0,0,0.88,0,0,0,0,125.00000000000004
2,2,2,0,1,1,1,0,1,76,1,25,40.69637288305157,-73.92004981776952,7,100.0,0,0,1.0,0,0,0,0,110.00000000000004
1,2,3,2,1,0,1,0,1,100,1,39,40.67365521616884,-73.96529631618884,1,80.0,2,2,1.0,0,0,0,1,199.99999999999991
1,2,2,0,1,2,1,0,1,43,1,25,40.57866677551608,-73.95226810568492,13,88.0,1,0,1.0,0,0,0,0,98.99999999999999
0,2,4,1,1,2,1,0,2,36,1,25,40.72514454448628,-73.79078162981966,0,96.0,3,3,1.0,0,1,1,1,144.99999999999997
1,1,1,2,1,0,0,0,1,76,1,25,40.73556487574474,-73.95570264660505,0,96.0,0,0,1.0,0,1,1,1,74.99999999999997
1,1,0,0,1,2,1,0,2,47,1,25,40.82800368504411,-73.94958205501513,0,96.0,0,0,1.0,0,1,1,1,39.99999999999998
1,2,4,0,1,2,1,0,1,46,1,25,40.68506841618798,-73.95602021442701,33,77.0,3,3,1.0,0,0,0,0,98.99999999999999
2,1,1,2,1,2,1,0,1,115,0,25,40.71331835966316,-73.94177265730094,274,95.0,0,0,1.0,0,0,0,0,90.99999999999997
1,2,1,0,1,0,0,0,2,60,1,25,40.771798528226384,-73.94915744702342,0,96.0,0,0,1.0,0,1,1,1,160.00000000000023
1,1,0,0,1,0,1,0,1,35,1,24,40.72206013422422,-73.98185453623593,13,98.0,0,0,1.0,0,0,0,0,74.99999999999997
1,2,1,0,1,2,1,0,2,53,1,29,40.764432383538896,-73.95833395786987,15,93.0,1,0,1.0,0,0,0,1,129.99999999999997
1,2,1,0,1,1,0,0,1,46,1,25,40.66125032242943,-73.96116555623148,0,96.0,0,0,1.0,0,1,1,1,98.99999999999999
2,1,1,1,0,1,1,0,1,98,1,24,40.68024388637608,-73.96658049699295,104,98.0,0,0,1.0,0,0,0,0,88.99999999999999
1,2,1,0,1,0,1,0,1,79,1,25,40.67684870077836,-74.00580749103868,112,94.0,1,0,0.9,0,0,0,0,100.00000000000004
1,2,1,0,1,2,1,0,1,70,1,29,40.74142314862795,-73.99315333735704,3,90.0,0,0,1.0,0,0,0,0,119.99999999999997
1,0,0,0,1,0,0,0,1,57,1,25,40.669905695213146,-73.92196089080508,26,95.0,0,0,1.0,0,0,0,0,25.000000000000007
0,2,3,2,1,2,1,0,2,81,1,30,40.655654290206215,-73.95636226728656,5,80.0,2,1,0.5,0,0,0,0,171.00000000000009
1,2,0,0,1,2,1,0,2,53,0,25,40.82876040930965,-73.94378771480655,2,80.0,1,0,1.0,0,0,0,0,89.99999999999967
1,1,1,0,1,2,1,0,1,69,1,25,40.72278913682726,-74.00350469642922,10,96.0,0,0,1.0,0,0,0,0,129.99999999999997
1,1,1,1,1,2,0,0,2,82,1,26,40.75121554046422,-73.89921657641834,89,98.0,0,0,1.0,0,0,0,0,74.99999999999997
1,2,1,0,1,2,1,0,2,107,0,25,40.809314390697,-73.94343341502758,142,97.0,0,0,1.0,0,0,0,0,155.00000000000003
1,2,1,0,1,0,1,0,1,113,1,26,40.69421688107246,-73.98089464082366,2,100.0,0,0,1.0,0,0,0,0,160.00000000000023
1,1,1,1,1,0,1,0,2,41,0,25,40.69301301694517,-73.9268303717373,0,96.0,0,0,1.0,0,1,1,1,95.0
1,1,1,0,1,2,1,0,1,63,1,26,40.7332550632848,-73.9553142229404,18,96.0,0,0,0.9,0,0,0,0,59.999999999999986
1,2,1,0,1,2,1,0,1,78,1,34,40.786334710887495,-73.97156299429874,17,95.0,1,0,1.0,0,0,0,1,144.99999999999997
1,2,2,0,1,2,1,0,1,57,1,36,40.67091900318079,-73.98758933324577,4,95.0,0,1,1.0,0,0,0,1,100.00000000000004
2,1,1,1,1,1,0,0,2,36,1,25,40.58931425598501,-73.80087381324243,0,96.0,0,0,0.0,0,1,1,0,64.99999999999999
1,1,0,0,1,1,0,0,2,44,1,43,40.67152565281325,-73.9880030147763,3,87.0,0,0,1.0,0,0,0,1,70.00000000000003
1,2,2,0,1,2,1,0,1,87,0,32,40.677583120699744,-73.96452160875727,1,100.0,0,0,1.0,0,0,0,1,125.00000000000004
1,1,1,0,1,2,1,0,1,80,1,25,40.72517190432801,-73.94939907842993,0,96.0,0,0,1.0,0,1,1,1,83.99999999999999
1,1,0,1,1,1,0,0,1,59,1,25,40.703641853569934,-73.927694448375,0,96.0,0,0,1.0,0,1,1,1,50.00000000000004
1,2,3,1,1,1,1,0,1,89,1,80,40.68468384086019,-73.96226474141234,1,100.0,2,3,0.63,0,0,0,0,300.0000000000002
1,1,1,0,1,1,0,0,1,42,1,41,40.68474184872129,-73.98862053734975,1,100.0,0,0,1.0,0,0,0,1,100.00000000000004
1,2,4,2,1,2,1,0,1,59,0,29,40.803817301096224,-73.94475510681504,28,92.0,2,3,1.0,0,0,0,0,275.00000000000057
1,2,3,0,1,0,1,0,2,97,1,25,40.809282295434215,-73.93766851050525,2,100.0,2,2,1.0,0,0,0,0,119.99999999999997
1,2,2,0,1,2,1,0,2,102,1,25,40.66918035246293,-73.99187275692877,76,99.0,0,1,1.0,0,0,0,0,129.99999999999997
0,1,1,1,1,0,0,0,1,110,1,25,40.83075286011898,-73.93058477273611,57,95.0,0,0,1.0,0,0,0,0,50.00000000000004
1,2,1,0,1,1,1,0,1,52,1,25,40.75625282030051,-73.9933589746552,0,96.0,0,0,1.0,0,1,1,0,206.99999999999994
1,2,1,0,1,2,0,0,1,50,1,30,40.7267162919692,-73.98688718318981,2,90.0,0,1,1.0,0,0,0,0,249.9999999999999
1,2,1,0,1,1,1,0,2,69,1,52,40.710648097267736,-73.95422066725423,31,94.0,0,1,0.5,0,0,0,0,164.9999999999998
0,0,1,1,0,1,0,0,2,43,1,25,40.68552420561099,-73.96394961944402,8,97.0,0,1,0.97,0,0,0,0,50.00000000000004
1,2,1,0,1,2,1,0,2,54,1,25,40.71922620906357,-73.94258356313088,25,98.0,1,0,1.0,0,0,0,0,89.99999999999967
1,1,0,0,1,0,1,0,1,52,1,25,40.6674312250876,-73.94712498786079,25,96.0,0,0,1.0,0,0,0,0,44.000000000000014
1,1,0,0,1,1,1,0,2,30,1,27,40.877402355052375,-73.87537313927541,1,100.0,0,0,1.0,0,0,0,0,28.99999999999999
1,2,2,0,1,2,1,0,1,87,1,52,40.741212785431735,-73.98648046920749,1,100.0,0,0,1.0,0,0,0,1,220.00000000000048
1,1,1,0,1,0,0,0,1,62,1,33,40.71686399267658,-73.95427633521314,3,73.0,0,0,0.9,0,0,0,0,79.0
